LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1967-Q3,Q3-1967,PC,Percentage,0,Units,,,1.879792233,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1967-Q4,Q4-1967,PC,Percentage,0,Units,,,0.867665221,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1968-Q1,Q1-1968,PC,Percentage,0,Units,,,-0.890549294,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1968-Q2,Q2-1968,PC,Percentage,0,Units,,,3.849727584,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1968-Q3,Q3-1968,PC,Percentage,0,Units,,,1.321756105,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1968-Q4,Q4-1968,PC,Percentage,0,Units,,,3.727898529,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1969-Q1,Q1-1969,PC,Percentage,0,Units,,,-0.692664145,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1969-Q2,Q2-1969,PC,Percentage,0,Units,,,1.981432593,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1969-Q3,Q3-1969,PC,Percentage,0,Units,,,1.655410892,,
AUS,Australia,B1_GE,Gross domestic product - expenditure approach,GPSA,"Growth rate compared to previous quarter, seasonally adjusted",Q,Quarterly,1969-Q4,Q4-1969,PC,Percentage,0,Units,,,2.304078181,,
